team_title,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,team_id,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,games_played,season
Augsburg,42.262212,40.81558,39.231112,38.542249999999996,154,228,43,46,45.8975,10,11,13,41,0.6888620000000003,121,8597,842,6763,784,34,2017
Bayer Leverkusen,56.982826,36.921523,53.193927,32.374942,274,171,58,44,61.5385,15,10,9,55,20.818984999999998,119,7869,845,9624,942,34,2017
Bayern Munich,76.548905,30.63783501,70.486685,27.32137101,375,117,92,28,73.5197,27,3,4,84,43.16531399,117,6158,790,12686,692,34,2017
Borussia Dortmund,66.097937,40.855982,61.551266999999996,38.582642,289,172,64,47,63.155699999999996,15,10,9,55,22.968625,129,6588,881,10642,798,34,2017
Borussia M.Gladbach,51.247335,52.088752,45.943067,49.057635,209,250,47,52,48.9304,13,8,13,47,-3.114568000000001,130,8746,825,9696,874,34,2017
Eintracht Frankfurt,41.059284,40.908612,39.543732,38.635284,193,160,45,45,47.1927,14,7,13,49,0.9084480000000004,132,8424,924,7771,818,34,2017
FC Cologne,41.500611,67.169223,39.22728,60.349243,208,245,35,70,32.183,5,7,22,22,-21.121963,134,8759,770,7943,817,34,2017
Freiburg,36.982345,45.660265,29.404563,41.871366,165,204,32,56,40.8203,8,12,14,36,-12.466803,135,10079,832,7580,890,34,2017
Hamburger SV,36.03913521,54.0578513,32.10216121,51.026747300000004,190,216,29,53,38.5863,8,7,19,31,-18.924586090000002,118,7544,889,6777,860,34,2017
Hannover 96,41.218368999999996,54.362708,37.287875,51.331678000000004,174,224,44,54,39.5837,10,9,15,39,-14.043803,128,8410,815,7278,898,34,2017
Hertha Berlin,38.5751845,44.714014999999996,34.7863015,39.409576,115,227,43,46,41.8905,10,13,11,43,-4.623274499999999,122,9647,814,7975,812,34,2017
Hoffenheim,50.71606,45.195158,46.783333,42.164045,251,202,66,48,49.8554,15,10,9,55,4.619288000000001,120,8833,825,9584,885,34,2017
Mainz 05,31.646729999999998,45.179642,28.615612,39.875211,147,223,38,52,37.9186,9,9,16,36,-11.259599,125,9205,903,6776,931,34,2017
RasenBallsport Leipzig,51.422302,47.422263,47.633493,43.633384,259,183,57,53,48.4744,15,8,11,53,4.000109,136,7346,957,9179,978,34,2017
Schalke 04,46.829516,39.4193487,39.251744,34.8604377,150,168,53,37,51.6947,18,9,7,63,4.3913063,124,9812,1091,8676,972,34,2017
VfB Stuttgart,37.912172,39.350573,35.638845,34.803906,148,204,36,36,46.6683,15,6,13,51,0.8349390000000003,133,9304,851,7991,762,34,2017
Werder Bremen,38.50837,43.465298,38.50837,40.251511,186,195,37,40,42.6959,10,12,12,42,-1.7431410000000003,123,9308,850,7600,790,34,2017
Wolfsburg,32.1054943,49.430159,27.3639243,42.462063,139,237,36,48,34.7997,6,15,13,33,-15.0981387,131,8771,708,8859,909,34,2017
Augsburg,47.443577,63.79157,43.654934,62.17374,182,266,51,71,37.0815,8,8,18,32,-18.518805999999998,121,9223,847,7575,733,34,2018
Bayer Leverkusen,61.489672,45.710428,57.7011054,41.163765,288,165,69,52,57.402,18,4,12,58,16.5373404,119,7105,757,12337,871,34,2018
Bayern Munich,92.240857,27.4123437,89.209907,22.8657611,435,89,88,32,82.003,24,6,4,78,66.3441459,117,6408,785,13489,597,34,2018
Borussia Dortmund,64.994402,42.875457,61.963292,39.086641,268,159,81,44,62.854,23,7,4,76,22.876651,129,8484,632,12291,876,34,2018
Borussia M.Gladbach,54.926189,52.868345,49.519472,50.595009,237,227,55,42,51.3782,16,7,11,55,-1.0755370000000002,130,9693,640,10966,661,34,2018
Eintracht Frankfurt,61.842493000000005,51.017874,58.81138,50.260094,178,217,60,48,54.3757,15,9,10,54,8.551286000000001,132,8682,825,6990,691,34,2018
Fortuna Duesseldorf,49.474933,63.06352,44.170747,57.759085,163,223,49,65,39.205799999999996,13,5,16,44,-13.588337999999998,233,10970,700,7568,798,34,2018
Freiburg,41.225196,61.429392,36.584205,56.124945000000004,141,249,46,61,35.6689,8,12,14,36,-19.54074,135,10347,746,8016,797,34,2018
Hannover 96,34.808797,73.120366,32.53547,67.81601500000001,157,309,31,71,25.2055,5,6,23,21,-35.280545,128,8720,759,7863,873,34,2018
Hertha Berlin,50.520192,61.583148,47.48908,57.036979,194,252,49,57,41.9502,11,10,13,43,-9.547899000000001,122,8880,793,8543,762,34,2018
Hoffenheim,79.954644,53.288005,74.650372,47.983984,308,239,70,52,62.956,13,12,9,51,26.666388,120,7797,894,9532,761,34,2018
Mainz 05,49.214245,62.803411000000004,46.941165,59.772791,211,244,46,57,39.3397,12,7,15,43,-12.831626000000002,125,9716,766,7259,752,34,2018
Nuernberg,35.371743,54.801146,30.825158,51.770046,148,259,26,68,35.1158,3,10,21,19,-20.944888000000002,234,10403,572,7444,828,34,2018
RasenBallsport Leipzig,68.246406,39.653422,62.942144,35.106988,245,160,63,29,63.0567,19,9,6,66,27.835156,136,9282,950,7252,782,34,2018
Schalke 04,46.618307,51.939163,39.798398,47.392663,168,184,37,55,44.1576,8,9,17,33,-7.594265,124,9555,865,7432,863,34,2018
VfB Stuttgart,37.3775347,62.698248,36.619756699999996,60.424928,153,260,32,70,31.9873,7,7,20,28,-23.8051713,133,9379,711,7499,714,34,2018
Werder Bremen,49.360428999999996,56.70904,46.32931,52.920239,233,206,58,49,44.3628,14,11,9,53,-6.590929,123,8561,788,9100,668,34,2018
Wolfsburg,49.490941,49.835679,45.702556,45.194779,181,182,62,50,47.0353,16,7,11,55,0.5077770000000004,131,7035,743,9084,746,34,2018
Augsburg,43.85645,59.119341999999996,40.067565,58.36173,133,223,45,63,39.7766,9,9,16,36,-18.294165,121,11195,707,5799,731,34,2019
